CLUSTER NUMBER,CLUSTER ID,PROTEIN CLASS,GENE ID,MAPPED IDS,GENE NAME/GENE SYMBOL/ORTHOLOG,PANTHER FAMILY/SUBFAMILY,PANTHER PROTEIN CLASS,SPECIES
Cluster 5,"Cortex 4DPI & 10DPI, Interface 4DPI",metabolite interconversion enzyme (PC00262) ,MOUSE|MGI=MGI=96414|UniProtKB=P54071,P54071,"Isocitrate dehydrogenase [NADP], mitochondrial;Idh2;ortholog","ISOCITRATE DEHYDROGENASE [NADP], MITOCHONDRIAL (PTHR11822:SF21)",dehydrogenase(PC00092),Mus musculus
Cluster 5,"Cortex 4DPI & 10DPI, Interface 4DPI",metabolite interconversion enzyme (PC00262) ,MOUSE|MGI=MGI=95753|UniProtKB=P26443,P26443,"Glutamate dehydrogenase 1, mitochondrial;Glud1;ortholog","GLUTAMATE DEHYDROGENASE 1, MITOCHONDRIAL (PTHR11606:SF13)",dehydrogenase(PC00092),Mus musculus
Cluster 5,"Cortex 4DPI & 10DPI, Interface 4DPI",metabolite interconversion enzyme (PC00262) ,MOUSE|MGI=MGI=2443883|UniProtKB=Q8CHT0,Q8CHT0,"Delta-1-pyrroline-5-carboxylate dehydrogenase, mitochondrial;Aldh4a1;ortholog","DELTA-1-PYRROLINE-5-CARBOXYLATE DEHYDROGENASE, MITOCHONDRIAL (PTHR14516:SF3)",dehydrogenase(PC00092),Mus musculus
Cluster 5,"Cortex 4DPI & 10DPI, Interface 4DPI",metabolite interconversion enzyme (PC00262) ,MOUSE|MGI=MGI=88271|UniProtKB=P24270,P24270,Catalase;Cat;ortholog,CATALASE (PTHR11465:SF9),peroxidase(PC00180),Mus musculus
Cluster 5,"Cortex 4DPI & 10DPI, Interface 4DPI",metabolite interconversion enzyme (PC00262) ,MOUSE|MGI=MGI=1915123|UniProtKB=Q9CQT1,Q9CQT1,Methylthioribose-1-phosphate isomerase;Mri1;ortholog,METHYLTHIORIBOSE-1-PHOSPHATE ISOMERASE (PTHR43475:SF1),isomerase(PC00135),Mus musculus
Cluster 5,"Cortex 4DPI & 10DPI, Interface 4DPI",metabolite interconversion enzyme (PC00262) ,MOUSE|MGI=MGI=88284|UniProtKB=P48758,P48758,Carbonyl reductase [NADPH] 1;Cbr1;ortholog,CARBONYL REDUCTASE [NADPH] 1 (PTHR43963:SF2),reductase(PC00198),Mus musculus
Cluster 5,"Cortex 4DPI & 10DPI, Interface 4DPI",metabolite interconversion enzyme (PC00262) ,MOUSE|MGI=MGI=95792|UniProtKB=P05202,P05202,"Aspartate aminotransferase, mitochondrial;Got2;ortholog","ASPARTATE AMINOTRANSFERASE, MITOCHONDRIAL (PTHR11879:SF22)",transaminase(PC00216),Mus musculus
Cluster 5,"Cortex 4DPI & 10DPI, Interface 4DPI",metabolite interconversion enzyme (PC00262) ,MOUSE|MGI=MGI=87995|UniProtKB=Q91Y97,Q91Y97,Fructose-bisphosphate aldolase B;Aldob;ortholog,FRUCTOSE-BISPHOSPHATE ALDOLASE B (PTHR11627:SF2),aldolase(PC00044),Mus musculus
Cluster 5,"Cortex 4DPI & 10DPI, Interface 4DPI",metabolite interconversion enzyme (PC00262) ,MOUSE|MGI=MGI=1915077|UniProtKB=Q9EQ20,Q9EQ20,"Methylmalonate-semialdehyde dehydrogenase [acylating], mitochondrial;Aldh6a1;ortholog","METHYLMALONATE-SEMIALDEHYDE DEHYDROGENASE [ACYLATING], MITOCHONDRIAL (PTHR43866:SF3)",dehydrogenase(PC00092),Mus musculus
Cluster 5,"Cortex 4DPI & 10DPI, Interface 4DPI",metabolite interconversion enzyme (PC00262) ,MOUSE|MGI=MGI=87870|UniProtKB=Q8QZT1,Q8QZT1,"Acetyl-CoA acetyltransferase, mitochondrial;Acat1;ortholog","ACETYL-COA ACETYLTRANSFERASE, MITOCHONDRIAL (PTHR18919:SF156)",acyltransferase(PC00042),Mus musculus
Cluster 5,"Cortex 4DPI & 10DPI, Interface 4DPI",metabolite interconversion enzyme (PC00262) ,MOUSE|MGI=MGI=1861622|UniProtKB=Q9JLJ2,Q9JLJ2,4-trimethylaminobutyraldehyde dehydrogenase;Aldh9a1;ortholog,4-TRIMETHYLAMINOBUTYRALDEHYDE DEHYDROGENASE (PTHR11699:SF228),dehydrogenase(PC00092),Mus musculus
Cluster 5,"Cortex 4DPI & 10DPI, Interface 4DPI",metabolite interconversion enzyme (PC00262) ,MOUSE|MGI=MGI=2385289|UniProtKB=Q8K0L3,Q8K0L3,"Acyl-coenzyme A synthetase ACSM2, mitochondrial;Acsm2;ortholog","ACYL-COENZYME A SYNTHETASE ACSM2B, MITOCHONDRIAL (PTHR43605:SF3)",ligase(PC00142),Mus musculus
Cluster 5,"Cortex 4DPI & 10DPI, Interface 4DPI",metabolite interconversion enzyme (PC00262) ,MOUSE|MGI=MGI=97051|UniProtKB=P14152,P14152,"Malate dehydrogenase, cytoplasmic;Mdh1;ortholog","MALATE DEHYDROGENASE, CYTOPLASMIC (PTHR23382:SF3)",dehydrogenase(PC00092),Mus musculus
Cluster 5,"Cortex 4DPI & 10DPI, Interface 4DPI",metabolite interconversion enzyme (PC00262) ,MOUSE|MGI=MGI=1277964|UniProtKB=Q9DBM2,Q9DBM2,Peroxisomal bifunctional enzyme;Ehhadh;ortholog,PEROXISOMAL BIFUNCTIONAL ENZYME (PTHR23309:SF49),dehydrogenase(PC00092),Mus musculus
Cluster 5,"Cortex 4DPI & 10DPI, Interface 4DPI",metabolite interconversion enzyme (PC00262) ,MOUSE|MGI=MGI=97050|UniProtKB=P08249,P08249,"Malate dehydrogenase, mitochondrial;Mdh2;ortholog","MALATE DEHYDROGENASE, MITOCHONDRIAL (PTHR11540:SF16)",dehydrogenase(PC00092),Mus musculus
Cluster 5,"Cortex 4DPI & 10DPI, Interface 4DPI",protein modifying enzyme (PC00260) ,MOUSE|MGI=MGI=1341799|UniProtKB=Q62433,Q62433,Protein NDRG1;Ndrg1;ortholog,PROTEIN NDRG1 (PTHR11034:SF18),serine protease(PC00203),Mus musculus
Cluster 5,"Cortex 4DPI & 10DPI, Interface 4DPI",protein modifying enzyme (PC00260) ,MOUSE|MGI=MGI=105112|UniProtKB=Q91X72,Q91X72,Hemopexin;Hpx;ortholog,HEMOPEXIN (PTHR10201:SF136),metalloprotease(PC00153),Mus musculus
Cluster 5,"Cortex 4DPI & 10DPI, Interface 4DPI",protein modifying enzyme (PC00260) ,MOUSE|MGI=MGI=96211|UniProtKB=Q61646,Q61646,Haptoglobin;Hp;ortholog,HAPTOGLOBIN-RELATED PROTEIN (PTHR24255:SF27),serine protease(PC00203),Mus musculus
Cluster 5,"Cortex 4DPI & 10DPI, Interface 4DPI",protein-binding activity modulator (PC00095),MOUSE|MGI=MGI=87854|UniProtKB=Q61838,Q61838,Pregnancy zone protein;Pzp;ortholog,PREGNANCY ZONE PROTEIN (PTHR11412:SF116),protease inhibitor(PC00191),Mus musculus
Cluster 5,"Cortex 4DPI & 10DPI, Interface 4DPI",protein-binding activity modulator (PC00095),MOUSE|MGI=MGI=891970|UniProtKB=P22599,P22599,Alpha-1-antitrypsin 1-2;Serpina1b;ortholog,ALPHA-1-ANTITRYPSIN (PTHR11461:SF165),protease inhibitor(PC00191),Mus musculus
Cluster 5,"Cortex 4DPI & 10DPI, Interface 4DPI",scaffold/adaptor protein (PC00226)  ,MOUSE|MGI=MGI=109484|UniProtKB=P63101,P63101,14-3-3 protein zeta/delta;Ywhaz;ortholog,14-3-3 PROTEIN ZETA/DELTA (PTHR18860:SF7),scaffold/adaptor protein(PC00226),Mus musculus
Cluster 5,"Cortex 4DPI & 10DPI, Interface 4DPI",transfer/carrier protein (PC00219) ,MOUSE|MGI=MGI=87991|UniProtKB=P07724,P07724,Albumin;Alb;ortholog,ALBUMIN (PTHR11385:SF15),transfer/carrier protein(PC00219),Mus musculus
Cluster 5,"Cortex 4DPI & 10DPI, Interface 4DPI",transfer/carrier protein (PC00219) ,MOUSE|MGI=MGI=98821|UniProtKB=Q921I1,Q921I1,Serotransferrin;Tf;ortholog,SEROTRANSFERRIN (PTHR11485:SF31),transfer/carrier protein(PC00219),Mus musculus
Cluster 5,"Cortex 4DPI & 10DPI, Interface 4DPI",transfer/carrier protein (PC00219) ,MOUSE|MGI=MGI=1353496|UniProtKB=P51881,P51881,ADP/ATP translocase 2;Slc25a5;ortholog,ADP/ATP TRANSLOCASE 2 (PTHR45635:SF3),transfer/carrier protein(PC00219),Mus musculus
Cluster 5,"Cortex 4DPI & 10DPI, Interface 4DPI",transporter (PC00227) ,MOUSE|MGI=MGI=88105|UniProtKB=Q8VDN2,Q8VDN2,Sodium/potassium-transporting ATPase subunit alpha-1;Atp1a1;ortholog,SODIUM/POTASSIUM-TRANSPORTING ATPASE SUBUNIT ALPHA-1 (PTHR43294:SF9),primary active transporter(PC00068),Mus musculus
Cluster 5,"Cortex 4DPI & 10DPI, Interface 4DPI",transporter (PC00227) ,MOUSE|MGI=MGI=88115|UniProtKB=Q03265,Q03265,"ATP synthase subunit alpha, mitochondrial;Atp5f1a;ortholog","ATP SYNTHASE SUBUNIT ALPHA, MITOCHONDRIAL (PTHR48082:SF2)",ATP synthase(PC00002),Mus musculus
Cluster 5,"Cortex 4DPI & 10DPI, Interface 4DPI",transporter (PC00227) ,MOUSE|MGI=MGI=88108|UniProtKB=P14094,P14094,Sodium/potassium-transporting ATPase subunit beta-1;Atp1b1;ortholog,SODIUM/POTASSIUM-TRANSPORTING ATPASE SUBUNIT BETA-1 (PTHR11523:SF10),primary active transporter(PC00068),Mus musculus
Cluster 5,"Cortex 4DPI & 10DPI, Interface 4DPI",transporter (PC00227) ,MOUSE|MGI=MGI=107801|UniProtKB=P56480,P56480,"ATP synthase subunit beta, mitochondrial;Atp5f1b;ortholog","ATP SYNTHASE SUBUNIT BETA, MITOCHONDRIAL (PTHR15184:SF60)",ATP synthase(PC00002),Mus musculus
Cluster 5,"Cortex 4DPI & 10DPI, Interface 4DPI",transporter (PC00227) ,MOUSE|MGI=MGI=106919|UniProtKB=Q60932,Q60932,Voltage-dependent anion-selective channel protein 1;Vdac1;ortholog,VOLTAGE-DEPENDENT ANION-SELECTIVE CHANNEL PROTEIN 1 (PTHR11743:SF13),voltage-gated ion channel(PC00241),Mus musculus
Cluster 5,"Cortex 4DPI & 10DPI, Interface 4DPI",transporter (PC00227) ,MOUSE|MGI=MGI=106341|UniProtKB=Q9DB20,Q9DB20,"ATP synthase subunit O, mitochondrial;Atp5po;ortholog","ATP SYNTHASE SUBUNIT O, MITOCHONDRIAL (PTHR11910:SF1)",ATP synthase(PC00002),Mus musculus
Cluster 5,"Cortex 4DPI & 10DPI, Interface 4DPI",transporter (PC00227) ,MOUSE|MGI=MGI=1918929|UniProtKB=Q9DCX2,Q9DCX2,"ATP synthase subunit d, mitochondrial;Atp5pd;ortholog","ATP SYNTHASE SUBUNIT D, MITOCHONDRIAL (PTHR12700:SF12)",ATP synthase(PC00002),Mus musculus
Cluster 5,"Cortex 4DPI & 10DPI, Interface 4DPI",transporter (PC00227) ,MOUSE|MGI=MGI=1927558|UniProtKB=P56135,P56135,"ATP synthase subunit f, mitochondrial;Atp5mf;ortholog","ATP SYNTHASE SUBUNIT F, MITOCHONDRIAL (PTHR13080:SF16)",ATP synthase(PC00002),Mus musculus
